Length(mm),B.n(Tesla)
1.18799199e+001,-4.55695748e-002
1.18985991e+001,-4.53708977e-002
1.19172782e+001,-4.51722206e-002
1.19359573e+001,-4.49735435e-002
1.19546364e+001,-4.47748664e-002
1.19733155e+001,-4.45761893e-002
1.19919947e+001,-4.43775121e-002
1.20106738e+001,-4.41788350e-002
1.20293529e+001,-4.39801579e-002
1.20480320e+001,-4.37814808e-002
1.20667111e+001,-4.35828037e-002
1.20853903e+001,-4.33841266e-002
1.21040694e+001,-4.31854495e-002
1.21227485e+001,-4.29867724e-002
1.21414276e+001,-4.27880953e-002
1.21601067e+001,-4.25894182e-002
1.21787859e+001,-4.23907411e-002
1.21974650e+001,-4.21920640e-002
1.22161441e+001,-4.19933869e-002
1.22348232e+001,-4.17947098e-002
1.22535023e+001,-4.15960327e-002
1.22721815e+001,-4.13973556e-002
1.22908606e+001,-4.11986785e-002
1.23095397e+001,-4.10000014e-002
1.23282188e+001,-4.08013243e-002
1.23468979e+001,-4.06026472e-002
1.23655771e+001,-4.04039701e-002
1.23842562e+001,-4.02052930e-002
1.24029353e+001,-4.00066159e-002
1.24216144e+001,-3.98079388e-002
1.24402935e+001,-3.96092617e-002
1.24589726e+001,-3.94105846e-002
1.24776518e+001,-3.92119075e-002
1.24963309e+001,-3.90132304e-002
1.25150100e+001,-3.88145533e-002
1.25336891e+001,-3.86158762e-002
1.25523682e+001,-3.84171991e-002
1.25710474e+001,-3.82185220e-002
1.25897265e+001,-3.80198449e-002
1.26084056e+001,-3.78211678e-002
1.26270847e+001,-3.76224907e-002
1.26457638e+001,-3.74815208e-002
1.26644430e+001,-3.74272626e-002
1.26831221e+001,-3.73730044e-002
1.27018012e+001,-3.73187461e-002
1.27204803e+001,-3.72644879e-002
1.27391594e+001,-3.72102297e-002
1.27578386e+001,-3.71559715e-002
1.27765177e+001,-3.71017132e-002
1.27951968e+001,-3.70474550e-002
1.28138759e+001,-3.69931968e-002
1.28325550e+001,-3.69389386e-002
1.28512342e+001,-3.68846804e-002
1.28699133e+001,-3.68304221e-002
1.28885924e+001,-3.67761639e-002
1.29072715e+001,-3.67219057e-002
1.29259506e+001,-3.66676475e-002
1.29446298e+001,-3.66133892e-002
1.29633089e+001,-3.65591310e-002
1.29819880e+001,-3.65048728e-002
1.30006671e+001,-3.64506146e-002
1.30193462e+001,-3.63963564e-002
1.30380254e+001,-3.63420981e-002
1.30567045e+001,-3.62878399e-002
1.30753836e+001,-3.62335817e-002
1.30940627e+001,-3.61793235e-002
1.31127418e+001,-3.61250652e-002
1.31314209e+001,-3.60708070e-002
1.31501001e+001,-3.60165488e-002
1.31687792e+001,-3.59622906e-002
1.31874583e+001,-3.59080324e-002
1.32061374e+001,-3.58537741e-002
1.32248165e+001,-3.57995159e-002
1.32434957e+001,-3.57452577e-002
1.32621748e+001,-3.56909995e-002
1.32808539e+001,-3.56367413e-002
1.32995330e+001,-3.55824830e-002
1.33182121e+001,-3.55282248e-002
1.33368913e+001,-3.54597353e-002
1.33555704e+001,-3.53369835e-002
1.33742495e+001,-3.52142316e-002
1.33929286e+001,-3.50914798e-002
1.34116077e+001,-3.49687279e-002
1.34302869e+001,-3.48459761e-002
1.34489660e+001,-3.47232243e-002
1.34676451e+001,-3.46004724e-002
1.34863242e+001,-3.44777206e-002
1.35050033e+001,-3.43549687e-002
1.35236825e+001,-3.42322169e-002
1.35423616e+001,-3.41094651e-002
1.35610407e+001,-3.39867132e-002
1.35797198e+001,-3.38513021e-002
1.35983989e+001,-3.37105509e-002
1.36170781e+001,-3.35697998e-002
1.36357572e+001,-3.34290487e-002
1.36544363e+001,-3.32882976e-002
1.36731154e+001,-3.31475465e-002
1.36917945e+001,-3.30067954e-002
1.37104736e+001,-3.28660443e-002
1.37291528e+001,-3.27252932e-002
1.37478319e+001,-3.25845421e-002
1.37665110e+001,-3.24437909e-002
1.37851901e+001,-3.23030398e-002
1.38038692e+001,-3.21622887e-002
1.38225484e+001,-3.20215376e-002
1.38412275e+001,-3.18807865e-002
1.38599066e+001,-3.17400354e-002
1.38785857e+001,-3.15992843e-002
1.38972648e+001,-3.14585332e-002
1.39159440e+001,-3.13177821e-002
1.39346231e+001,-3.11770310e-002
1.39533022e+001,-3.10362798e-002
1.39719813e+001,-3.08971978e-002
1.39906604e+001,-3.07804581e-002
1.40093396e+001,-3.06637184e-002
1.40280187e+001,-3.05469788e-002
1.40466978e+001,-3.04302391e-002
1.40653769e+001,-3.03134994e-002
1.40840560e+001,-3.01967598e-002
